,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
435,ploemeur,les-kaolins,ploemeur les-kaolins,https://www.surf-sentinel.com/surf-report/france/morbihan/ploemeur/les-kaolins,2023-08-11,15,C,moyennes,2,1.2,6,47.7228289,-3.4873461
450,ploemeur,les-kaolins,ploemeur les-kaolins,https://www.surf-sentinel.com/surf-report/france/morbihan/ploemeur/les-kaolins,2023-08-14,6,C,moyennes,2,1.3,6,47.7228289,-3.4873461
451,ploemeur,les-kaolins,ploemeur les-kaolins,https://www.surf-sentinel.com/surf-report/france/morbihan/ploemeur/les-kaolins,2023-08-14,9,C,moyennes,2,1.2,6,47.7228289,-3.4873461
245,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-14,21,C,moyennes,2,0.9,6,47.7058556,-3.3855627
244,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-14,18,C,moyennes,2,1.0,6,47.7058556,-3.3855627
452,ploemeur,les-kaolins,ploemeur les-kaolins,https://www.surf-sentinel.com/surf-report/france/morbihan/ploemeur/les-kaolins,2023-08-14,12,C,moyennes,2,1.1,6,47.7228289,-3.4873461
453,ploemeur,les-kaolins,ploemeur les-kaolins,https://www.surf-sentinel.com/surf-report/france/morbihan/ploemeur/les-kaolins,2023-08-14,15,C,moyennes,2,1.0,6,47.7228289,-3.4873461
454,ploemeur,les-kaolins,ploemeur les-kaolins,https://www.surf-sentinel.com/surf-report/france/morbihan/ploemeur/les-kaolins,2023-08-14,18,C,moyennes,2,1.0,6,47.7228289,-3.4873461
455,ploemeur,les-kaolins,ploemeur les-kaolins,https://www.surf-sentinel.com/surf-report/france/morbihan/ploemeur/les-kaolins,2023-08-14,21,C,moyennes,2,0.9,6,47.7228289,-3.4873461
225,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-11,15,C,moyennes,2,1.2,6,47.7058556,-3.3855627
222,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-11,6,C,moyennes,2,1.1,6,47.7058556,-3.3855627
492,plouhinec,lines,plouhinec lines,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/lines,2023-08-14,6,C,moyennes,2,1.3,6,47.6846414,-3.2830856
493,plouhinec,lines,plouhinec lines,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/lines,2023-08-14,9,C,moyennes,2,1.2,6,47.6846414,-3.2830856
494,plouhinec,lines,plouhinec lines,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/lines,2023-08-14,12,C,moyennes,2,1.1,6,47.6846414,-3.2830856
495,plouhinec,lines,plouhinec lines,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/lines,2023-08-14,15,C,moyennes,2,1.0,6,47.6846414,-3.2830856
496,plouhinec,lines,plouhinec lines,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/lines,2023-08-14,18,C,moyennes,2,1.0,6,47.6846414,-3.2830856
497,plouhinec,lines,plouhinec lines,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/lines,2023-08-14,21,C,moyennes,2,0.9,6,47.6846414,-3.2830856
286,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-14,18,C,moyennes,2,1.0,6,47.70566,-3.40123
